Name,Class,ManaCost,Attack,Health,Text
A dormir con los peces,10,2,-1,-1,Inflige 3 p. de daño a todos los esbirros dañados.
A empollar,4,2,-1,-1,Roba 1 (carta, cartas) <i>(mejora con el <b>daño con hechizos</b>)</i>.
A la refriega,10,1,-1,-1,Otorga a todos los esbirros con <b>Provocar</b> de tu mano +2/+2.
A los cañones,10,2,-1,-1,Inflige 3 p. de daño a un esbirro y 1 p. de daño a todos los demás esbirros.
A suertes,7,2,-1,-1,Roba una carta. Si tiene <b>Último aliento</b>, vuelve a lanzarse este hechizo.
Abanico de cuchillos,7,2,-1,-1,Inflige 1 p. de daño a todos los esbirros enemigos. Roba una carta.
Abanico de cuchillos,7,3,-1,-1,Inflige 1 p. de daño a todos los esbirros enemigos. Roba una carta.
Abanico de cuchillos,7,2,-1,-1,Inflige 1 p. de daño a todos los esbirros enemigos. Roba una carta.
Abisal superior,12,8,12,12,No puede atacar a héroes.
Abisario,9,1,1,3,<b>Provocar</b>
Abisario,9,1,1,3,<b>Provocar</b>
Abisario,9,1,1,3,<b>Provocar</b>
Abofeteador de estrella mortal,2,5,6,5,<b>Grito de batalla:</b> Roba un esbirro con <b>Último aliento</b> y obtiene su <b>Último aliento</b>.
Abogada de demanda colectiva,5,2,2,3,<b>Grito de batalla:</b> Si tu mazo no tiene cartas neutrales, cambia las estadísticas de un esbirro a 1/1.
Abogado de Las Fauces,2,2,1,3,<b>Elige una:</b> <b>Silencia</b> a un esbirro, o bien vuelve <b>inmune</b> a un esbirro este turno.
Abogado de oficio,10,2,0,7,<b>Provocar</b>
Abominación,12,5,4,4,<b>Provocar</b>. <b>Último aliento:</b> Inflige 2 p. de daño a todos los personajes.
Abominación,12,5,4,4,<b>Provocar</b>. <b>Último aliento:</b> Inflige 2 p. de daño a todos los personajes.
Abominación explosiva,12,4,5,6,<b>Último aliento:</b> Inflige 5 p. de daño a tus esbirros.
Abominación huargen,12,7,6,6,Al final de tu turno, inflige 2 p. de daño a todos los demás esbirros dañados.
Abominación hueca,9,5,2,8,<b>Grito de batalla:</b> Inflige 1 p. de daño a todos los esbirros enemigos. <b>Muerte con honor:</b> Obtiene el ataque del esbirro.
Abrasamiento mental,6,1,-1,-1,Inflige 2 p. de daño a un esbirro. Si muere, inflige 3 p. de daño al héroe enemigo.
Abraza las sombras,6,2,-1,-1,Este turno, tus efectos de sanación infligen daño.
Abrazar la oscuridad,6,6,-1,-1,Elige a un esbirro enemigo. Al comienzo de tu turno, lo controlas.
Abrazo de la Naturaleza,2,2,-1,-1,Roba una carta con <b>Elige una</b>. <b>Forja:</b> Combina sus efectos.
Abre la cámara,3,1,-1,-1,<b>Misión:</b> Invoca a 20 esbirros. <b>Recompensa:</b> Máscara de guerra del faraón.
Abre la puerta,4,1,-1,-1,<b>Misión:</b> Lanza 8 hechizos que no estén en tu mazo inicial. <b>Recompensa:</b> Distorsión temporal.
Abrecaminos,2,3,3,4,<b>Grito de batalla:</b> Lanza la otra opción del último hechizo con <b>Elige una</b> que hayas lanzado.
Abrir las jaulas,3,2,-1,-1,<b>Secreto:</b> Al comienzo de tu turno, si controlas dos esbirros, invoca a un compañero animal.
Abusona revolbum,12,5,5,5,<b>Grito de batalla:</b> Las cartas enemigas con <b>Grito de batalla</b> cuestan (5) cristales más el próximo turno.
Acaparador almasuerte,12,3,3,4,<b>Grito de batalla:</b> Mete 2 trozos de alma en tu mazo. <b>Corrupción:</b> Roba una carta.
Acaparador corrupto,12,4,4,2,<b>Último aliento:</b> Roba una carta.
Acaparador de botín,12,2,2,1,<b>Último aliento:</b> Roba una carta.
Acaparador de botín,12,2,2,1,<b>Último aliento:</b> Roba una carta.
Acaparador de botín,12,2,2,1,<b>Último aliento:</b> Roba una carta.
Acaparadora de equipo,12,4,4,5,<b>Provocar</b> Si acabas el turno con maná sin usar, reduce en (1) cristal el coste de esta carta.
Acechacielos Faucedraco,12,6,5,6,<b>Último aliento:</b> Invoca a una dragonauta 3/4.
